이름,그룹,소속사,성별,생년월일,키,혈액형,인기지수
아이린,레드벨벳,SM,여자,1991-03-29,160,A,8256324
차은우,아스트로,판타지오,남자,1997-03-30,183,B,3506027
뷔,방탄소년단,빅히트,남자,1995-12-30,178,AB,8073501
민현,,플레디스,남자,1995-08-09,182.3,O,4989792
소연,아이들,큐브,여자,1998-08-26,,B,4668615
진,방탄소년단,빅히트,남자,1992-12-04,179.2,O,4570308
윤아,소녀시대,SM,여자,1989-03-09,,A,3918661
백호,뉴이스트,플레디스,남자,1995-07-21,175,AB,3301654
JR,뉴이스트,플레디스,남자,1995-06-08,176,O,3274137
슈가,방탄소년단,빅히트,남자,1993-03-09,174,O,4925442
강다니엘,,커넥트,남자,1996-12-10,180,A,8273745
정국,방탄소년단,빅히트,남자,1997-09-01,178,A,7208335
화사,마마무,RBW,여자,1995-07-23,162.1,A,7650928
하성운,핫샷,스타크루이엔티,남자,1994-03-22,167.1,A,4036489
슬기,레드벨벳,SM,여자,1994-02-10,161,A,5021452
지민,방탄소년단,빅히트,남자,1995-10-13,173.6,A,10523260
